ID	System	Time	Treatment	Sys_Time	Sys_Time_Treat	Replicate	S_T_Tr_Rep	Operator	Run
L3CII	L	3	C	L3	L3C	II	L3CII	vove	run2
L3CIII	L	3	C	L3	L3C	III	L3CIII	vove	run2
L3DI	L	3	D	L3	L3D	I	L3DI	vove	run2
L3DII	L	3	D	L3	L3D	II	L3DII	vove	run2
L3DIII	L	3	D	L3	L3D	III	L3DIII	vove	run2
L4AI	L	4	A	L4	L4A	I	L4AI	vove	run2
L4AII	L	4	A	L4	L4A	II	L4AII	vove	run2
L4AIII	L	4	A	L4	L4A	III	L4AIII	vove	run2
L4BI	L	4	B	L4	L4B	I	L4BI	vove	run2
L4BII	L	4	B	L4	L4B	II	L4BII	vove	run2
L4BIII	L	4	B	L4	L4B	III	L4BIII	vove	run2
L4CI	L	4	C	L4	L4C	I	L4CI	vove	run2
L4CII	L	4	C	L4	L4C	II	L4CII	vove	run2
L4CIII	L	4	C	L4	L4C	III	L4CIII	vove	run2
L4DI	L	4	D	L4	L4D	I	L4DI	vove	run2
L4DII	L	4	D	L4	L4D	II	L4DII	vove	run2
L4DIII	L	4	D	L4	L4D	III	L4DIII	vove	run2
L5AI	L	5	A	L5	L5A	I	L5AI	vove	run2
L5AII	L	5	A	L5	L5A	II	L5AII	vove	run2
L5AIII	L	5	A	L5	L5A	III	L5AIII	vove	run2
L5BI	L	5	B	L5	L5B	I	L5BI	vove	run2
L5BII	L	5	B	L5	L5B	II	L5BII	vove	run2
L5BIII	L	5	B	L5	L5B	III	L5BIII	vove	run2
L5CI	L	5	C	L5	L5C	I	L5CI	vove	run2
L5CII	L	5	C	L5	L5C	II	L5CII	vove	run2
L5CIII	L	5	C	L5	L5C	III	L5CIII	vove	run2
L5DI	L	5	D	L5	L5D	I	L5DI	vove	run2
L5DIIa	L	5	D	L5	L5D	II	L5DII	gkma	run4
L5DIIb	L	5	D	L5	L5D	II	L5DII	gkma	run3
L5DIII	L	5	D	L5	L5D	III	L5DIII	vove	run2
L6AI	L	6	A	L6	L6A	I	L6AI	vove	run2
L6AII	L	6	A	L6	L6A	II	L6AII	vove	run2
L6AIII	L	6	A	L6	L6A	III	L6AIII	gkma	run4
L6BI	L	6	B	L6	L6B	I	L6BI	gkma	run3
L6BII	L	6	B	L6	L6B	II	L6BII	gkma	run3
L6BIII	L	6	B	L6	L6B	III	L6BIII	gkma	run3
L6CI	L	6	C	L6	L6C	I	L6CI	gkma	run3
L6CII	L	6	C	L6	L6C	II	L6CII	gkma	run3
L6CIII	L	6	C	L6	L6C	III	L6CIII	gkma	run3
L6DI	L	6	D	L6	L6D	I	L6DI	gkma	run3
L6DII	L	6	D	L6	L6D	II	L6DII	gkma	run3
L6DIII	L	6	D	L6	L6D	III	L6DIII	gkma	run3
M0I	M	0	Z	M0	M0Z	I	M0ZI	gkma	run4
M0V	M	0	Z	M0	M0Z	II	M0ZII	gkma	run4
Manure	M	0	Z	M0	M0Z	III	M0ZIII	gkma	run3
S0ZI	S	0	Z	S0	S0Z	I	S0ZI	gkma	run3
S0ZII	S	0	Z	S0	S0Z	II	S0ZII	gkma	run3
S0ZIII	S	0	Z	S0	S0Z	III	S0ZIII	gkma	run3
S1AI	S	1	A	S1	S1A	I	S1AI	vove	run1
S1AII	S	1	A	S1	S1A	II	S1AII	vove	run1
S1AIII	S	1	A	S1	S1A	III	S1AIII	vove	run1
S1BI	S	1	B	S1	S1B	I	S1BI	vove	run1
S1BII	S	1	B	S1	S1B	II	S1BII	vove	run1
S1BIII	S	1	B	S1	S1B	III	S1BIII	vove	run1
S1CI	S	1	C	S1	S1C	I	S1CI	vove	run1
S1CII	S	1	C	S1	S1C	II	S1CII	vove	run1
S1CIII	S	1	C	S1	S1C	III	S1CIII	vove	run1
S1DI	S	1	D	S1	S1D	I	S1DI	vove	run1
S1DII	S	1	D	S1	S1D	II	S1DII	vove	run1
S1DIII	S	1	D	S1	S1D	III	S1DIII	vove	run1
S2AI	S	2	A	S2	S2A	I	S2AI	vove	run1
S2AII	S	2	A	S2	S2A	II	S2AII	vove	run1
S2AIII	S	2	A	S2	S2A	III	S2AIII	vove	run1
S2BI	S	2	B	S2	S2B	I	S2BI	vove	run1
S2BII	S	2	B	S2	S2B	II	S2BII	vove	run1
S2BIII	S	2	B	S2	S2B	III	S2BIII	vove	run1
S2CI	S	2	C	S2	S2C	I	S2CI	vove	run1
S2CII	S	2	C	S2	S2C	II	S2CII	vove	run1
S2CIII	S	2	C	S2	S2C	III	S2CIII	vove	run1
S2DI	S	2	D	S2	S2D	I	S2DI	vove	run1
S2DII	S	2	D	S2	S2D	II	S2DII	vove	run1
S2DIII	S	2	D	S2	S2D	III	S2DIII	vove	run1
S3AI	S	3	A	S3	S3A	I	S3AI	vove	run1
S3AII	S	3	A	S3	S3A	II	S3AII	vove	run1
S3AIII	S	3	A	S3	S3A	III	S3AIII	vove	run1
S3BI	S	3	B	S3	S3B	I	S3BI	vove	run1
S3BII	S	3	B	S3	S3B	II	S3BII	vove	run1
S3BIII	S	3	B	S3	S3B	III	S3BIII	vove	run1
S3CI	S	3	C	S3	S3C	I	S3CI	vove	run1
S3CII	S	3	C	S3	S3C	II	S3CII	vove	run1
S3CIII	S	3	C	S3	S3C	III	S3CIII	vove	run1
S3DI	S	3	D	S3	S3D	I	S3DI	vove	run1
S3DII	S	3	D	S3	S3D	II	S3DII	vove	run1
S3DIII	S	3	D	S3	S3D	III	S3DIII	vove	run1
S4AI	S	4	A	S4	S4A	I	S4AI	vove	run1
S4AII	S	4	A	S4	S4A	II	S4AII	vove	run1
S4AIII	S	4	A	S4	S4A	III	S4AIII	vove	run1
S4BI	S	4	B	S4	S4B	I	S4BI	vove	run1
S4BII	S	4	B	S4	S4B	II	S4BII	vove	run1
S4BIII	S	4	B	S4	S4B	III	S4BIII	vove	run1
S4CI	S	4	C	S4	S4C	I	S4CI	vove	run1
S4CII	S	4	C	S4	S4C	II	S4CII	vove	run1
S4CIII	S	4	C	S4	S4C	III	S4CIII	vove	run1
S4DI	S	4	D	S4	S4D	I	S4DI	vove	run1
S4DII	S	4	D	S4	S4D	II	S4DII	vove	run1
S4DIII	S	4	D	S4	S4D	III	S4DIII	vove	run1
S5AI	S	5	A	S5	S5A	I	S5AI	vove	run1
S5AII	S	5	A	S5	S5A	II	S5AII	vove	run1
S5AIII	S	5	A	S5	S5A	III	S5AIII	vove	run1
S5BI	S	5	B	S5	S5B	I	S5BI	vove	run1
S5BII	S	5	B	S5	S5B	II	S5BII	vove	run1
S5BIII	S	5	B	S5	S5B	III	S5BIII	vove	run1
S5CI	S	5	C	S5	S5C	I	S5CI	vove	run1
S5CII	S	5	C	S5	S5C	II	S5CII	vove	run1
S5CIII	S	5	C	S5	S5C	III	S5CIII	vove	run1
S5DI	S	5	D	S5	S5D	I	S5DI	vove	run1
S5DII	S	5	D	S5	S5D	II	S5DII	vove	run1
S5DIII	S	5	D	S5	S5D	III	S5DIII	vove	run1
S6AI	S	6	A	S6	S6A	I	S6AI	vove	run1
S6AII	S	6	A	S6	S6A	II	S6AII	vove	run1
S6AIII	S	6	A	S6	S6A	III	S6AIII	vove	run1
S6BI	S	6	B	S6	S6B	I	S6BI	gkma	run4
S6BII	S	6	B	S6	S6B	II	S6BII	gkma	run4
S6BIII	S	6	B	S6	S6B	III	S6BIII	gkma	run4
S6CI	S	6	C	S6	S6C	I	S6CI	gkma	run4
S6CII	S	6	C	S6	S6C	II	S6CII	gkma	run4
S6CIII	S	6	C	S6	S6C	III	S6CIII	gkma	run4
S6DI	S	6	D	S6	S6D	I	S6DI	gkma	run4
S6DII	S	6	D	S6	S6D	II	S6DII	gkma	run4
S6DIII	S	6	D	S6	S6D	III	S6DIII	gkma	run4
W0AI	W	0	a	W0	W0a	I	W0aI	gkma	run3
W0AII	W	0	a	W0	W0a	II	W0aII	gkma	run3
W0AIII	W	0	a	W0	W0a	III	W0aIII	gkma	run3
W0BI	W	0	b	W0	W0b	I	W0bI	gkma	run3
W0BII	W	0	b	W0	W0b	II	W0bII	gkma	run3
W0BIII	W	0	b	W0	W0b	III	W0bIII	gkma	run3
W1AI	W	1	a	W1	W1a	I	W1aI	gkma	run3
W1AII	W	1	a	W1	W1a	II	W1aII	gkma	run3
W1AIII	W	1	a	W1	W1a	III	W1aIII	gkma	run3
W1BI	W	1	b	W1	W1b	I	W1bI	gkma	run3
W1BII	W	1	b	W1	W1b	II	W1bII	gkma	run3
W1BIII	W	1	b	W1	W1b	III	W1bIII	gkma	run3
W2AI	W	2	a	W2	W2a	I	W2aI	gkma	run3
W2AII	W	2	a	W2	W2a	II	W2aII	gkma	run3
W2AIII	W	2	a	W2	W2a	III	W2aIII	gkma	run3
W2BI	W	2	b	W2	W2b	I	W2bI	gkma	run3
W2BII	W	2	b	W2	W2b	II	W2bII	gkma	run3
W2BIII	W	2	b	W2	W2b	III	W2bIII	gkma	run3
W3AI	W	3	a	W3	W3a	I	W3aI	gkma	run3
W3AII	W	3	a	W3	W3a	II	W3aII	gkma	run3
W3AIII	W	3	a	W3	W3a	III	W3aIII	gkma	run3
W3BI	W	3	b	W3	W3b	I	W3bI	gkma	run3
W3BII	W	3	b	W3	W3b	II	W3bII	gkma	run3
W3BIII	W	3	b	W3	W3b	III	W3bIII	gkma	run3
W4AI	W	4	a	W4	W4a	I	W4aI	gkma	run3
W4AII	W	4	a	W4	W4a	II	W4aII	gkma	run3
W4AIII	W	4	a	W4	W4a	III	W4aIII	gkma	run3
W4BI	W	4	b	W4	W4b	I	W4bI	gkma	run3
W4BII	W	4	b	W4	W4b	II	W4bII	gkma	run3
W4BIII	W	4	b	W4	W4b	III	W4bIII	gkma	run3
W5AI	W	5	a	W5	W5a	I	W5aI	gkma	run4
W5AII	W	5	a	W5	W5a	II	W5aII	gkma	run3
W5AIII	W	5	a	W5	W5a	III	W5aIII	gkma	run3
W5BI	W	5	b	W5	W5b	I	W5bI	gkma	run3
W5BII	W	5	b	W5	W5b	II	W5bII	gkma	run3
W5BIII	W	5	b	W5	W5b	III	W5bIII	gkma	run3
W6AI	W	6	a	W6	W6a	I	W6aI	gkma	run3
W6AII	W	6	a	W6	W6a	II	W6aII	gkma	run3
W6AIII	W	6	a	W6	W6a	III	W6aIII	gkma	run3
W6BI	W	6	b	W6	W6b	I	W6bI	gkma	run3
W6BII	W	6	b	W6	W6b	II	W6bII	gkma	run4
W6BIII	W	6	b	W6	W6b	III	W6bIII	gkma	run4
